"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_11947367",0.232825360673963,36665.960669178,"Lake Superior",36.665960669178
"nhd_11947403",0.222044934622872,39491.4775206299,"Lake Superior",39.4914775206299
"nhd_11947423",0.222800268389555,44006.499507425,"Lake Superior",44.006499507425
"nhd_11947443",0.237250280483976,43991.0970186172,"Lake Superior",43.9910970186172
"nhd_11947509",0.217234285349877,50876.7596374737,"Lake Superior",50.8767596374737
"nhd_11947513",0.23377513362145,51895.6281998318,"Lake Superior",51.8956281998318
"nhd_11947535",0.233584400876429,54166.9181567779,"Lake Superior",54.1669181567779
"nhd_11947551",0.201388811524036,55579.0447408467,"Lake Superior",55.5790447408467
"nhd_11947567",0.20638820038693,55671.6542389194,"Lake Superior",55.6716542389194
"nhd_11947647",0.225295285321071,47972.9025133716,"Lake Superior",47.9729025133716
"nhd_11947877",0.210322099350789,66138.7339659412,"Lake Superior",66.1387339659412
"nhd_11947925",0.214459837595117,69113.874098921,"Lake Superior",69.113874098921
"nhd_11949273",0.213716323585881,55446.337809373,"Lake Superior",55.446337809373
"nhd_11949383",0.219270292878599,45687.354415402,"Lake Superior",45.687354415402
"nhd_11949453",0.207487086688301,56137.9309780194,"Lake Superior",56.1379309780194
"nhd_11949459",0.201240292613265,57244.6727782573,"Lake Superior",57.2446727782573
"nhd_11949477",0.206353714674651,57803.0261571329,"Lake Superior",57.8030261571329
"nhd_11949485",0.205637955164087,60941.0743173704,"Lake Superior",60.9410743173704
"nhd_11949497",0.212811702005329,57516.6737912743,"Lake Superior",57.5166737912743
"nhd_11949511",0.203899358751207,58672.946215096,"Lake Superior",58.672946215096
"nhd_11949533",0.213535148410403,62794.9563979344,"Lake Superior",62.7949563979344
"nhd_11949543",0.194761561888643,61179.7157151888,"Lake Superior",61.1797157151888
"nhd_11949551",0.201514179111887,64370.1506332344,"Lake Superior",64.3701506332344
"nhd_11949567",0.211468678609223,63975.7375745834,"Lake Superior",63.9757375745834
"nhd_11949581",0.209663976295656,62809.0874547795,"Lake Superior",62.8090874547795
"nhd_11949593",0.206788767095504,61442.1267341743,"Lake Superior",61.4421267341743
"nhd_11949625",0.205059853677253,62059.9733276611,"Lake Superior",62.0599733276611
"nhd_11949661",0.21348545512863,61041.0806108939,"Lake Superior",61.0410806108939
"nhd_11949707",0.207211631874303,63782.7364029857,"Lake Superior",63.7827364029857
"nhd_11949709",0.219994944003623,60515.2400502084,"Lake Superior",60.5152400502084
"nhd_11949743",0.195865681905443,69276.5537915988,"Lake Superior",69.2765537915988
"nhd_11949753",0.210446982778098,64729.9837845287,"Lake Superior",64.7299837845287
"nhd_11949775",0.210405517855543,63857.0032631158,"Lake Superior",63.8570032631158
"nhd_11949785",0.211807269965694,63413.4807966342,"Lake Superior",63.4134807966342
"nhd_11949787",0.213764308067994,66568.2641787486,"Lake Superior",66.5682641787486
"nhd_11949795",0.208650783632222,68717.778934159,"Lake Superior",68.717778934159
"nhd_11949799",0.207624205167803,62796.2417451793,"Lake Superior",62.7962417451793
"nhd_11949825",0.20637670116398,66326.6577185114,"Lake Superior",66.3266577185114
"nhd_11949829",0.203280885590884,70912.9374728889,"Lake Superior",70.9129374728889
"nhd_11949831",0.210782741576112,61839.489989434,"Lake Superior",61.839489989434
"nhd_11949833",0.199602416473667,64141.5323319205,"Lake Superior",64.1415323319205
"nhd_11949843",0.20961589495936,62974.3862169891,"Lake Superior",62.9743862169891
"nhd_11949845",0.199682999047561,66076.0426628025,"Lake Superior",66.0760426628025
"nhd_11949849",0.210587938320559,63911.3864660103,"Lake Superior",63.9113864660103
"nhd_11949851",0.189889800394907,69513.0529190378,"Lake Superior",69.5130529190378
"nhd_11949857",0.201975687894375,66579.8649248054,"Lake Superior",66.5798649248054
"nhd_11949875",0.199444615426653,63899.8605001847,"Lake Superior",63.8998605001847
"nhd_11949893",0.202252960392165,66770.7446411714,"Lake Superior",66.7707446411714
"nhd_11949911",0.209190056092885,67828.939413854,"Lake Superior",67.828939413854
"nhd_11949917",0.211538078620986,68088.6407725741,"Lake Superior",68.0886407725741
"nhd_11949925",0.188186661977515,68990.7675832291,"Lake Superior",68.9907675832291
"nhd_11949927",0.203668130036544,67467.9597615257,"Lake Superior",67.4679597615257
"nhd_11949945",0.186885535113574,71130.1051836503,"Lake Superior",71.1301051836503
"nhd_11949977",0.199906767550897,69094.1590188814,"Lake Superior",69.0941590188814
"nhd_11949987",0.208254288791611,68501.0993458038,"Lake Superior",68.5010993458038
"nhd_11949989",0.199427609987276,70397.0478582725,"Lake Superior",70.3970478582725
"nhd_11949993",0.204708796003097,70650.7432684843,"Lake Superior",70.6507432684843
"nhd_11950001",0.192885727697878,63516.7119510143,"Lake Superior",63.5167119510143
"nhd_11950015",0.213635756402287,66916.1257645409,"Lake Superior",66.9161257645409
"nhd_11950017",0.183627234883003,70190.9296104776,"Lake Superior",70.1909296104776
"nhd_11950027",0.194683292895051,71480.1750194766,"Lake Superior",71.4801750194766
"nhd_11950037",0.219396953508157,66133.6686536091,"Lake Superior",66.1336686536091
"nhd_11950039",0.19658406206265,72770.0014743454,"Lake Superior",72.7700014743454
"nhd_11950059",0.203795881453835,67165.9913504095,"Lake Superior",67.1659913504095
"nhd_11950065",0.197095981528882,71151.9729257119,"Lake Superior",71.1519729257119
"nhd_11950071",0.206004409329658,70054.3555327984,"Lake Superior",70.0543555327984
"nhd_11950077",0.215642569139222,66832.6880137843,"Lake Superior",66.8326880137843
"nhd_11950081",0.194102735634126,70812.8597210852,"Lake Superior",70.8128597210852
"nhd_11950083",0.198565792290024,72991.3420561414,"Lake Superior",72.9913420561414
